VIN,Year,Make,Model,Mileage,Exterior Color,Model Series,Vda,Unit Number,Due Location Name,Advertised Price,State
1C3BC4FB7BN545574,2011,CHRYSLER,200,20569,SIL,LX,0,1358811,FLSOR10,15100,FL
1GKKVRED6BJ227530,2011,GMC,ACADIA,44627,WHI,SLT,707.15,3431368,RHP FT. LAUDERDALE,25300,FL
1GKKVRED0CJ112889,2012,GMC,ACADIA,17819,GLD,SLT-1,0,1392539,GREATER TAMPA BAY AA,33100,FL
1GKKVSED5BJ237831,2011,GMC,ACADIA,50469,GRA,SLT,0,8789455,RHP TAMPA,23300,FL
1GKKVSED9CJ113403,2012,GMC,ACADIA,16047,WHI,SLT-2,0,2103661,FAAO CARTER RD WS,1100,FL
1GKKVSED3BJ235513,2011,GMC,ACADIA,45704,WHI,SLT,0,5199906,RHP FT. LAUDERDALE,24400,FL
1GKKVRED3BJ236508,2011,GMC,ACADIA,46612,GRA,SLT,908.82,8789505,RHP FT. LAUDERDALE,25100,FL
1GKKVRED1CJ122718,2012,GMC,ACADIA,1733,BLU,SLT-1,0,2121523,RHP TAMPA,34200,FL
KMHCN4AC1AU496558,2010,HYUNDAI,ACCENT,40542,GRA,GLS,0,6905681,RHP MIAMI,10700,FL
KMHCN4AC3AU484282,2010,HYUNDAI,ACCENT,41885,BLU,GLS,0,6905483,RHP MIAMI,10600,FL
KMHCN4AC3AU465280,2010,HYUNDAI,ACCENT,43658,WHI,GLS,0,6905913,RHP MIAMI,10500,FL
1HGCP2F36BA073426,2011,HONDA,ACCORD,29169,SIL,LX,0,1248806,FLSOR10,16700,FL
1HGCP2F34BA094906,2011,HONDA,ACCORD,37328,RED,LX,0,1348580,FLSOR10,16200,FL
1N4AL2AP0AN533902,2010,NISSAN,ALTIMA,38923,BLU,S,0,6314744,FAAO CARTER RD WS,15300,FL
1N4AL2AP9BN447862,2011,NISSAN,ALTIMA,27347,WHI,S,217.4,1194422,FLSOR10,16800,FL
1N4AL2AP2BN437030,2011,NISSAN,ALTIMA,40814,SIL,S,0,9968207,RHP ORLANDO,16100,FL
1N4AL2AP4AN513748,2010,NISSAN,ALTIMA,40830,WHI,S,0,7028327,RHP ORLANDO,15200,FL
1N4AL2AP9BN446291,2011,NISSAN,ALTIMA,32000,WHI,S,0,1235613,FLSOR10,16600,FL
1N4AL2AP6BN408145,2011,NISSAN,ALTIMA,40731,SIL,S,1178.8,5124573,RHP FT. LAUDERDALE,16100,FL
1N4AL2AP2AN468387,2010,NISSAN,ALTIMA,41210,RED,S,391.93,5769955,RHP TAMPA,15200,FL
1N4AL2AP5AN431155,2010,NISSAN,ALTIMA,37771,WHI,S,666.34,5899745,RHP MIAMI,15400,FL
1N4AL2AP9BN405109,2011,NISSAN,ALTIMA,35104,RED,S,0,2582096,RHP TAMPA,16400,FL
1N4AL2AP8BN421804,2011,NISSAN,ALTIMA,43931,SIL,S,0,5500822,RHP ORLANDO,15900,FL
1N4AL2AP3AN463151,2010,NISSAN,ALTIMA,42852,RED,S,646.27,5972633,RHP JACKSONVILLE,15100,FL
1N4AL2AP0BN446602,2011,NISSAN,ALTIMA,27967,SIL,S,0,1219245,FLSOR10,16800,FL
1N4AL2AP4BN407026,2011,NISSAN,ALTIMA,30516,LBL,S,0,5521638,FLSOR10,16600,FL
1N4AL2AP9BN420046,2011,NISSAN,ALTIMA,45314,BLU,S,573.24,5469671,RHP MIAMI,15800,FL
1N4AL2AP7BN420417,2011,NISSAN,ALTIMA,42968,WHI,S,0,6557086,RHP MIAMI,16000,FL
1N4AL2AP6BN405102,2011,NISSAN,ALTIMA,29510,BUR,S,205,5521141,FLSOR10,16700,FL
1N4AL2AP8AN450993,2010,NISSAN,ALTIMA,47108,WHI,S,36.5,7135437,RHP ORLANDO,14900,FL
1N4AL2APXBN423344,2011,NISSAN,ALTIMA,50101,SIL,S,0,5468319,RHP ORLANDO,15600,FL
1N4AL2AP9AN498695,2010,NISSAN,ALTIMA,42364,SIL,S,206.82,9393638,FAAO CARTER RD WS,15200,FL
1N4AL2AP4AC142814,2010,NISSAN,ALTIMA,47121,SIL,S,0,6854475,RHP JACKSONVILLE,14900,FL
1N4AL2AP2BN486602,2011,NISSAN,ALTIMA,33375,SIL,S,0,6613897,RHP TAMPA,16500,FL
1N4AL2AP5BN443405,2011,NISSAN,ALTIMA,30452,SIL,S,220.73,5042528,FLSOR10,16600,FL
1N4AL2AP3BN447338,2011,NISSAN,ALTIMA,40679,RED,S,0,3078672,RHP TAMPA,16100,FL
1N4CL2AP4BC130558,2011,NISSAN,ALTIMA HYBRID,28081,GRE,HYB,0,2354967,FLSOR10,17500,FL
1N4CL2AP6BC150939,2011,NISSAN,ALTIMA HYBRID,28651,SIL,HYB,0,3277910,FAAO CARTER RD WS,17500,FL
1N4CL2AP7BC145930,2011,NISSAN,ALTIMA HYBRID,27962,WHI,HYB,0,3278884,CENTRAL FLORIDA AUTO,17500,FL
1N4CL2AP3BC132415,2011,NISSAN,ALTIMA HYBRID,38257,SIL,HYB,428.9,2553808,FAAO CARTER RD WS,17200,FL
1N4CL2AP3BC153362,2011,NISSAN,ALTIMA HYBRID,25770,GRA,HYB,0,3287265,RHP JACKSONVILLE,17600,FL
1N4CL2AP0BC136146,2011,NISSAN,ALTIMA HYBRID,33588,WHI,HYB,0,1741453,FAAO CARTER RD WS,17400,FL
KL1TD6DE6BB158951,2011,CHEVROLET,AVEO,25974,YEL,LT,247,1165133,FLSOR10,11600,FL
KL1TD6DE5BB141400,2011,CHEVROLET,AVEO,22852,WHI,LT,0,9971524,FLSOR10,11800,FL
KL1TD6DE1BB159022,2011,CHEVROLET,AVEO,28015,YEL,LT,0,5511191,FLSOR10,11500,FL
KL1TG6DE7BB172364,2011,CHEVROLET,AVEO,24308,GRA,2LT,0,1169440,FLSOR10,12300,FL
YV1672MK7B2198929,2011,VOLVO,C30,36893,SIL,HB,0,1740471,FLSOR10,18400,FL
YV1672MK2B2203230,2011,VOLVO,C30,41334,WHI,HB,85,2201606,FORT LAUDERDALE AA W,17900,FL
WDDGF5EB1AA401739,2010,MERCEDES,C300,40445,BLA,SPORT,0,8047698,RHP MIAMI,27149.78,FL
WDDGF5EB0AF432709,2010,MERCEDES,C300,40985,RED,SPORT,0,2695641,FORT LAUDERDALE AA W,28600,FL
4T1BF3EK5BU621261,2011,TOYOTA,CAMRY,5437,SIL,SE,696.43,8083636,RHP TAMPA,19000,FL
4T1BF3EK5BU622877,2011,TOYOTA,CAMRY,37522,RED,LE,960.8,2357374,CENTRAL FLORIDA AUTO,16300,FL
4T1BF3EK8BU623294,2011,TOYOTA,CAMRY,39173,WHI,SE,160,2514941,RHP MIAMI,16900,FL
4T1BF3EK6BU129953,2011,TOYOTA,CAMRY,38646,GRA,LE,725.8,5137740,RHP MIAMI,16200,FL
4T1BF3EK4BU188953,2011,TOYOTA,CAMRY,43883,GRA,SE,0,3525631,FLSOR10,15000,FL
4T1BF3EK6BU594331,2011,TOYOTA,CAMRY,45424,BLU,SE,508.58,6911747,RHP TAMPA,16200,FL
4T1BF3EK2BU601159,2011,TOYOTA,CAMRY,44123,SIL,SE,809.34,8504284,CENTRAL FLORIDA AUTO,16400,FL
4T1BF3EK5BU595745,2011,TOYOTA,CAMRY,44498,RED,LE,396.7,8086936,RHP TAMPA,15700,FL
4T1BF3EK9BU129610,2011,TOYOTA,CAMRY,37968,BEI,LE,783.7,5137823,FORT LAUDERDALE AA W,16300,FL
4T1BF3EK6BU612827,2011,TOYOTA,CAMRY,45804,BLU,LE,158.85,3784659,RHP ORLANDO,15600,FL
4T1BF3EK9BU193176,2011,TOYOTA,CAMRY,48451,SIL,SE,0,8082661,FLSOR10,14900,FL
4T1BF3EK9BU163157,2011,TOYOTA,CAMRY,33074,BLA,LE,146.6,1349901,FLSOR10,16700,FL
4T1BF3EK4BU612745,2011,TOYOTA,CAMRY,45573,SIL,SE,85,2203487,FLSOR10,14900,FL
4T1BF3EK5BU653448,2011,TOYOTA,CAMRY,39708,BLU,BASE,210,1220128,FLSOR10,16500,FL
4T1BF3EK9AU576369,2010,TOYOTA,CAMRY,46208,RED,SE,953.03,1326602,RHP JACKSONVILLE,16300,FL
4T1BF3EK3BU613059,2011,TOYOTA,CAMRY,46918,RED,LE,856.5,2202182,RHP MIAMI,15500,FL
4T1BF3EK1BU188585,2011,TOYOTA,CAMRY,42916,SIL,LE,42.2,2652956,RHP TAMPA,15800,FL
4T1BF3EK8BU652424,2011,TOYOTA,CAMRY,42247,WHI,LE,276.7,6234074,RHP MIAMI,15900,FL
4T1BF3EK3BU192668,2011,TOYOTA,CAMRY,29483,SIL,LE,195,3510773,FLSOR10,17000,FL
4T1BF3EK2BU192290,2011,TOYOTA,CAMRY,43898,GRA,LE,210,3973542,RHP ORLANDO,15800,FL
4T1BF3EK1BU126524,2011,TOYOTA,CAMRY,39156,GRA,LE,719.61,7199508,RHP MIAMI,16200,FL
4T1BF3EK5AU085782,2010,TOYOTA,CAMRY,38406,SIL,LE,978.76,2753283,RHP FT. LAUDERDALE,15900,FL
2B3CL3CG8BH586476,2011,DODGE,CHARGER,24378,WHI,SE,0,1360833,FLSOR10,20600,FL
2B3CA3CV6AH193031,2010,DODGE,CHARGER,40283,WHI,SXT,0,6913479,FAAO CARTER RD WS,16700,FL
2B3CL3CG9BH586552,2011,DODGE,CHARGER,24371,DBL,SE,0,1379130,CENTRAL FLORIDA AUTO,20600,FL
2B3CL3CG6BH586590,2011,DODGE,CHARGER,23456,BLA,SE,0,1378975,RHP TAMPA,20600,FL
2HGFA1F52AH537676,2010,HONDA,CIVIC,35525,WHI,LX,215,5973599,FLSOR10,14900,FL
2HGFA1F50AH555464,2010,HONDA,CIVIC,38415,BLU,LX,0,2576494,FLSOR10,14800,FL
1NXBU4EE6AZ336931,2010,TOYOTA,COROLLA,39122,SIL,S,1143.6,1589126,RHP MIAMI,14500,FL
1NXBU4EE2AZ233151,2010,TOYOTA,COROLLA,47759,GRA,LE,735.38,7995772,RHP TAMPA,13000,FL
2T1BU4EE7AC367025,2010,TOYOTA,COROLLA,43070,BLU,LE,160,7191000,FAAO CARTER RD WS,13300,FL
2T1BU4EE5AC384776,2010,TOYOTA,COROLLA,40415,RED,S,1130.65,7425994,RHP MIAMI,14400,FL
2T1BU4EE1AC287106,2010,TOYOTA,COROLLA,42093,SIL,LE,697.4,3396033,RHP MIAMI,13300,FL
2T1BU4EE0AC348798,2010,TOYOTA,COROLLA,47904,SIL,LE,453,7058555,RHP ORLANDO,11800,FL
2T1BU4EE0AC369067,2010,TOYOTA,COROLLA,43330,BLU,LE,270.9,7790249,RHP MIAMI,13300,FL
1NXBU4EEXAZ234824,2010,TOYOTA,COROLLA,50172,RED,LE,1032.05,9505546,RHP MIAMI,13100,FL
2T1BU4EE7AC304748,2010,TOYOTA,COROLLA,39021,GRA,S,539.4,2715779,RHP MIAMI,14500,FL
2T1BU4EE0AC429185,2010,TOYOTA,COROLLA,41158,RED,LE,0,7063670,RHP JACKSONVILLE,13400,FL
2T1BU4EEXAC317249,2010,TOYOTA,COROLLA,40017,SIL,LE,1120.21,5248141,RHP MIAMI,13400,FL
2T1BU4EE4AC397616,2010,TOYOTA,COROLLA,45201,SIL,S,822.95,7207897,RHP MIAMI,14100,FL
2T1BU4EE2AC367420,2010,TOYOTA,COROLLA,45208,SIL,LE,0,7197940,RHP TAMPA,13200,FL
2T1BU4EEXAC313394,2010,TOYOTA,COROLLA,38581,SIL,LE,1120.1,5134549,RHP MIAMI,13500,FL
JTDBU4EE9A9115637,2010,TOYOTA,COROLLA,22883,SIL,LE,0,5842711,FLSOR10,14300,FL
2T1BU4EE1AC332593,2010,TOYOTA,COROLLA,45412,RED,LE,160,8314197,FLSOR10,13200,FL
JTDBU4EE6B9123759,2011,TOYOTA,COROLLA,23666,WHI,LE,0,1241454,FLSOR10,15800,FL
1NXBU4EE7AZ321953,2010,TOYOTA,COROLLA,40703,RED,S,261.5,1389766,RHP MIAMI,14400,FL
2T1BU4EE6AC361216,2010,TOYOTA,COROLLA,43421,RED,S,0,9374000,FLSOR10,14200,FL
1NXBU4EE6AZ277167,2010,TOYOTA,COROLLA,31668,BEI,LE,200,1180959,FLSOR10,13900,FL
2T1BU4EE4AC311558,2010,TOYOTA,COROLLA,37373,SIL,LE,1041.35,5134408,RHP MIAMI,13500,FL
JTDBU4EE0A9107104,2010,TOYOTA,COROLLA,40903,BLU,LE,908.3,8077950,RHP MIAMI,13400,FL
2FABP7EV9BX126921,2011,FORD,CROWN VIC,24533,SIL,LX,0,1122357,FLSOR10,16500,FL
JM3ER4C30B0369346,2011,MAZDA,CX7,29132,SIL,TRNG,0,5421953,FLSOR10,21100,FL
JM3TB3CV3B0313411,2011,MAZDA,CX9,31829,WHI,TRNG,0,2037679,FLSOR10,24900,FL
4A4JN2AS1BE025781,2011,MITSUBISHI,ENDEAVOR,29793,GRA,LS,0,7060650,RHP JACKSONVILLE,19700,FL
4A4JN2AS3BE012594,2011,MITSUBISHI,ENDEAVOR,51634,GRA,LS,0,5244892,RHP FT. LAUDERDALE,18700,FL
4A4JN2AS5BE011866,2011,MITSUBISHI,ENDEAVOR,40055,SIL,LS,205,3954344,RHP MIAMI,19000,FL
4A4JN2ASXBE013970,2011,MITSUBISHI,ENDEAVOR,34740,SIL,LS,290.55,6410559,RHP TAMPA,19400,FL
4A4JN2AS8BE013045,2011,MITSUBISHI,ENDEAVOR,33869,BLA,LS,803.65,5242409,RHP TAMPA,19400,FL
4A4JN2AS3BE009775,2011,MITSUBISHI,ENDEAVOR,36846,WHI,LS,0,6347389,FORT LAUDERDALE AA W,18900,FL
4A4JN2AS0BE010124,2011,MITSUBISHI,ENDEAVOR,35169,GRA,LS,0,6567788,RHP FT. LAUDERDALE,19300,FL
4A4JN2AS1BE025960,2011,MITSUBISHI,ENDEAVOR,31461,WHI,LS,531.26,3984523,RHP TAMPA,19600,FL
4A4JN2AS0BE012519,2011,MITSUBISHI,ENDEAVOR,38026,WHI,LS,438.56,5244595,FAAO CARTER RD WS,19200,FL
4A4JN2AS1BE026025,2011,MITSUBISHI,ENDEAVOR,25074,WHI,LS,0,7044910,FLSOR10,20000,FL
4A4JN2AS4BE026066,2011,MITSUBISHI,ENDEAVOR,23533,WHI,LS,434.05,3793262,FAAO CARTER RD WS,20100,FL
4A4JN2AS8BE012316,2011,MITSUBISHI,ENDEAVOR,34359,WHI,LS,221,5514385,CENTRAL FLORIDA AUTO,19400,FL
4A4JN2AS1BE012089,2011,MITSUBISHI,ENDEAVOR,36592,BLA,LS,0,6563092,RHP FT. LAUDERDALE,19300,FL
4A4JN2ASXBE028386,2011,MITSUBISHI,ENDEAVOR,27918,BLA,LS,0,5224134,RHP JACKSONVILLE,19800,FL
1FMCU9D72AKC59538,2010,FORD,ESCAPE,43275,WHI,XLT,646.35,9058884,RHP FT. LAUDERDALE,16200,FL
1FMCU9D77AKC91773,2010,FORD,ESCAPE,41947,GLD,XLT,338.52,6889786,FORT LAUDERDALE AA W,16300,FL
1FMCU9D72AKC77408,2010,FORD,ESCAPE,39983,WHI,XLT,0,3930195,RHP JACKSONVILLE,16500,FL
1FMCU9D74AKC79743,2010,FORD,ESCAPE,40531,GLD,XLT,894.25,6498539,FORT LAUDERDALE AA W,16500,FL
1FMCU9EGXAKC13227,2010,FORD,ESCAPE,48943,SIL,LTD,0,1242775,FLSOR10,16917.43,FL
1FMCU9EG9AKC04485,2010,FORD,ESCAPE,41648,SIL,LTD,0,7321060,FLSOR10,17200,FL
1FMCU9D70AKC59506,2010,FORD,ESCAPE,39826,GRA,XLT,130,6486625,FORT LAUDERDALE AA W,16500,FL
1FMEU6EE9AUA87047,2010,FORD,EXPLORER,43255,WHI,EB,0,9413584,FLSOR10,21300,FL
1FMEU6EE3AUA52732,2010,FORD,EXPLORER,37310,BLA,EB,402.4,1174341,FORT LAUDERDALE AA W,21800,FL
1GA2G1DG6A1156159,2010,CHEVROLET,EXPRESS,44868,RED,LT,735.48,8037459,FAAO CARTER RD WS,18513.12,FL
1FTEX1E85AFB65501,2010,FORD,F150,37766,RED,XLT,1069.19,7439664,CENTRAL FLORIDA AUTO,23600,FL
3FADP4BJ7BM173238,2011,FORD,FIESTA,20736,SIL,SE,0,5461215,FLSOR10,14000,FL
3FAHP0HA5AR190638,2010,FORD,FUSION,38361,GRA,,85,5490578,RHP FT. LAUDERDALE,14700,FL
3FAHP0HA0AR340221,2010,FORD,FUSION,37182,BLA,SE,0,6901110,FLSOR10,14800,FL
3FAHP0HA7BR222233,2011,FORD,FUSION,43102,RED,SE,0,3074812,RHP ORLANDO,15554.65,FL
3FAHP0HA3AR296828,2010,FORD,FUSION,45401,GRA,SE,0,2575769,RHP ORLANDO,14100,FL
3FAHP0HA5BR223560,2011,FORD,FUSION,45054,SIL,SE,0,9968264,RHP TAMPA,15530.84,FL
4A32B2FF2BE007268,2011,MITSUBISHI,GALANT,47288,WHI,FE,0,8084311,RHP JACKSONVILLE,13400,FL
4A32B2FF4BE007580,2011,MITSUBISHI,GALANT,38093,WHI,FE,282.3,6835797,RHP FT. LAUDERDALE,13800,FL
4A32B2FF4BE008342,2011,MITSUBISHI,GALANT,36271,WHI,FE,85,6402895,RHP ORLANDO,13800,FL
4A32B2FF7BE007122,2011,MITSUBISHI,GALANT,40275,RED,FE,96.91,5769914,FLSOR10,13700,FL
4A32B2FF5BE008883,2011,MITSUBISHI,GALANT,37909,RED,FE,1064.8,2628220,RHP FT. LAUDERDALE,13800,FL
4A32B2FF6AE009894,2010,MITSUBISHI,GALANT,45702,WHI,ES,607.9,5828587,RHP MIAMI,12600,FL
4A32B2FF7BE008318,2011,MITSUBISHI,GALANT,41004,RED,FE,1165.48,6403570,CENTRAL FLORIDA AUTO,13600,FL
4A32B2FF3BE012186,2011,MITSUBISHI,GALANT,35025,RED,FE,0,5193610,FAAO CARTER RD WS,13900,FL
4A32B2FF0BE012291,2011,MITSUBISHI,GALANT,31779,WHI,FE,0,6569420,FLSOR10,14000,FL
4A32B2FF7BE007279,2011,MITSUBISHI,GALANT,38429,WHI,FE,458.6,3526696,FAAO CARTER RD WS,13700,FL
4A32B2FF8BE006853,2011,MITSUBISHI,GALANT,42316,WHI,FE,223.35,6835037,CENTRAL FLORIDA AUTO,13600,FL
4A32B2FF1BE008976,2011,MITSUBISHI,GALANT,42446,SIL,FE,0,6405591,RHP TAMPA,13600,FL
4A32B2FF0BE009066,2011,MITSUBISHI,GALANT,44043,WHI,FE,0,5116090,RHP MIAMI,13500,FL
